wall_time,step,epoch,value,tag,event_file,parameter,block
1768387348.176696,0,0.03125,0.05558836832642555,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387349.6452131,1,0.0625,0.05889735370874405,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387350.0665364,2,0.09375,0.05901557579636574,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387350.486471,3,0.125,0.062105972319841385,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387350.9072537,4,0.15625,0.05672037601470947,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387351.3340647,5,0.1875,0.06222803518176079,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387351.773418,6,0.21875,0.07054702192544937,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387352.2078435,7,0.25,0.05994214862585068,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387352.6273499,8,0.28125,0.058805547654628754,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
1768387353.0617006,9,0.3125,0.054651498794555664,Grad/mlp.fc2.lora_B,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/Grad_mlp.fc2.lora_B_block_5/events.out.tfevents.1768387349.master-192-168-8-48.1680.9,mlp.fc2.lora_B,5
