layer_index,module_name,sensitivity_value,source_metric,source_step,source_tag,source_event_file
3,fc2,2.0683315060665564e-09,final_adam_exp_avg_sq_mean,99,blocks.3.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
3,post-GELU,0.006077839061617851,final_adam_exp_avg_sq_mean,99,blocks.3.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
3,post-softmax,1.183795575343538e-06,final_adam_exp_avg_sq_mean,99,blocks.3.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
3,proj,1.314457875878361e-08,final_adam_exp_avg_sq_mean,99,blocks.3.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
3,qkv,2.2927393317218048e-09,final_adam_exp_avg_sq_mean,99,blocks.3.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
4,fc1,5.776246148059272e-10,final_adam_exp_avg_sq_mean,99,blocks.4.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
4,fc2,1.6187478024676238e-09,final_adam_exp_avg_sq_mean,99,blocks.4.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
4,post-GELU,0.006597975268959999,final_adam_exp_avg_sq_mean,99,blocks.4.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
4,post-softmax,6.40693258446845e-07,final_adam_exp_avg_sq_mean,99,blocks.4.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
4,proj,1.1091181306710496e-08,final_adam_exp_avg_sq_mean,99,blocks.4.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
4,qkv,1.5456911306443999e-09,final_adam_exp_avg_sq_mean,99,blocks.4.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
5,fc1,4.5864059772249277e-10,final_adam_exp_avg_sq_mean,99,blocks.5.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
5,fc2,9.68853441918327e-10,final_adam_exp_avg_sq_mean,99,blocks.5.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
5,post-GELU,0.005469114985316992,final_adam_exp_avg_sq_mean,99,blocks.5.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
5,post-softmax,4.008162193258613e-07,final_adam_exp_avg_sq_mean,99,blocks.5.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
