gradient_name,block,n,min,median,max
Grad_attn_quantizer.log_base_alpha,0,3200,0.00023147014144342393,0.006559414090588689,0.10000500828027725
Grad_attn_quantizer.log_base_alpha,5,3200,0.00010055428720079362,0.0016439954633824527,0.04725952446460724
Grad_attn_quantizer.log_base_alpha,11,3200,5.795765173388645e-05,0.0008257977606263012,0.009559976868331432
Grad_mlp.fc2.lora_B,0,3200,0.009620877914130688,0.19257596135139465,5.648077011108398
Grad_mlp.fc2.lora_B,5,3200,0.006817915476858616,0.12608569115400314,1.4068108797073364
Grad_mlp.fc2.lora_B,11,3200,0.0028416593559086323,0.03945848159492016,0.40700799226760864
Grad_qkv.lora_B,0,3200,0.006324684247374535,0.1340942159295082,2.242607593536377
Grad_qkv.lora_B,5,3200,0.011153575964272022,0.17964255809783936,1.8506451845169067
Grad_qkv.lora_B,11,3200,0.004960737656801939,0.08900266140699387,1.0047869682312012
