tensor_type,count,mean,std,min,p01,p05,p50,p95,p99,max
ordinary,300000,0.002967691528912838,0.262297893068208,-2.2109944820404053,-0.6267785608768462,-0.4190093383193016,0.001330668746959418,0.4264669433236121,0.6395088809728623,2.8760993480682373
post-GELU,300000,-0.0349787220119325,0.3801095471866347,-0.16997122764587402,-0.1699085684120655,-0.16835840195417404,-0.06099152937531471,0.17218492031097335,0.8413145089149511,29.445556640625
post-softmax,300000,0.0050573671270805875,0.010829342331196144,9.635355979753513e-08,1.858881438238314e-05,8.878451335476712e-05,0.0021380458492785692,0.01834379183128476,0.04546947102993729,0.5695629715919495
