tensor_type,bin_left,bin_right,density,count,in_range_count,total_sampled_count,plot_range_low,plot_range_high
ordinary,-0.953284228682518,-0.9364857300251723,0.005964842623467847,30,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.9364857300251723,-0.9196872313678266,0.0075554673230592735,38,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.9196872313678266,-0.9028887327104809,0.006561326885814632,33,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.9028887327104809,-0.8860902340531351,0.008350779672854986,42,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.8860902340531351,-0.8692917353957894,0.0075554673230592735,38,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.8692917353957894,-0.8524932367384437,0.01252616950928248,63,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.8524932367384437,-0.835694738081098,0.01709921552060783,86,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.835694738081098,-0.8188962394237522,0.013719138033976048,69,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.8188962394237522,-0.8020977407664065,0.015508590821016403,78,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.8020977407664065,-0.7852992421090608,0.02127460535703532,107,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.7852992421090608,-0.768500743451715,0.025251167106013887,127,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.768500743451715,-0.7517022447943693,0.031017181642032807,156,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.7517022447943693,-0.7349037461370236,0.029824213117339234,150,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.7349037461370236,-0.7181052474796779,0.03916913322743887,197,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.7181052474796779,-0.7013067488223321,0.041952726451723855,211,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.7013067488223321,-0.6845082501649864,0.04135624218937708,208,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.6845082501649864,-0.6677097515076407,0.05169530273672134,260,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.6677097515076407,-0.6509112528502949,0.05825662962253597,293,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.6509112528502949,-0.6341127541929492,0.0681980339949824,343,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.6341127541929492,-0.6173142555356035,0.07913357880467344,398,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.6173142555356035,-0.6005157568782578,0.10020935607425983,504,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.6005157568782578,-0.583717258220912,0.10179998077385126,512,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.583717258220912,-0.5669187595635663,0.11015076044670626,554,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.5669187595635663,-0.5501202609062205,0.14454801957536986,727,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.5501202609062205,-0.5333217622488747,0.14951872176159403,752,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.5333217622488747,-0.516523263591529,0.17576402930485258,884,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.516523263591529,-0.4997247649341833,0.2034011334602536,1023,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.4997247649341833,-0.48292626627683755,0.23064058144075675,1160,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.48292626627683755,-0.4661277676194918,0.24455854756218176,1230,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.4661277676194918,-0.4493292689621461,0.290885491937782,1463,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.4493292689621461,-0.43253077030480036,0.30977416024543025,1558,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.43253077030480036,-0.41573227164745463,0.3485456372979712,1753,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.41573227164745463,-0.3989337729901089,0.3914925041869397,1969,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.3989337729901089,-0.3821352743327632,0.4308604655018275,2167,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.3821352743327632,-0.36533677567541745,0.4740061604782449,2384,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.36533677567541745,-0.3485382770180717,0.5211284172036409,2621,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.3485382770180717,-0.331739778360726,0.5758061412520963,2896,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.331739778360726,-0.31494127970338026,0.6553373762316674,3296,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.31494127970338026,-0.29814278104603453,0.714985802466346,3596,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.29814278104603453,-0.2813442823886888,0.7790084466249009,3918,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.2813442823886888,-0.2645457837313431,0.8197682045519311,4123,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.2645457837313431,-0.24774728507399735,0.90347482936793,4544,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.24774728507399735,-0.23094878641665162,0.9470181805192451,4763,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.23094878641665162,-0.2141502877593059,1.0323154300348354,5192,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.2141502877593059,-0.19735178910196016,1.0867943259958417,5466,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.19735178910196016,-0.18055329044461443,1.1712962631616362,5891,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.18055329044461443,-0.1637547917872687,1.2621606991257965,6348,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.1637547917872687,-0.14695629312992287,1.289996631368638,6488,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.14695629312992287,-0.13015779447257714,1.4096911400129013,7090,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.13015779447257714,-0.11335929581523141,1.4331528543318748,7208,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.11335929581523141,-0.09656079715788568,1.4941930771786958,7515,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.09656079715788568,-0.07976229850053995,1.5087075275624675,7588,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.07976229850053995,-0.06296379984319422,1.6085192274618296,8090,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.06296379984319422,-0.046165301185848495,1.6115016487735634,8105,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.046165301185848495,-0.029366802528502767,1.6079227431994827,8087,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.029366802528502767,-0.012568303871157038,1.657232108886817,8335,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,-0.012568303871157038,0.00423019478618869,1.6679688256090592,8389,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.00423019478618869,0.02102869344353442,1.6480860168641662,8289,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.02102869344353442,0.03782719210088015,1.606928602762238,8082,299400,300000,-0.953284228682518,1.0625356101989698
